,PCECTPI,OILPRICEx,FEDFUNDS ,GS10,GS10TB3Mx,AAAFFM,M2REAL,TOTALSLx ,UMCSENTx ,CUMFNS ,GDPC1,PCECC96 ,INDPRO,UNRATE ,PAYEMS ,HOUST
12/1/1986,2.411614135,38.39647366,6.2667,7.2633,1.91,2.41,5.97283881,5.462199985,92,78.8303,2.139837667,2.44139584,4.518713873,6.8333,2.590965182,-10.67960872
3/1/1987,3.767131304,65.51984932,6.22,7.1933,1.66,2.1467,1.483445409,-3.606351198,90.5,79.4248,2.956427197,0.378038401,5.222034183,6.6,2.415780501,11.28565429
6/1/1987,3.846146718,20.26548798,6.65,8.3433,2.69,2.5167,-1.118872095,0.354083732,91.8,80.2177,4.289627008,5.417477847,7.098754441,6.2667,3.113747332,-35.43817399
9/1/1987,3.771826558,17.05796785,6.8433,8.8767,2.83,2.9133,-1.7551962,4.109278083,93.9,81.167,3.453758533,4.536798559,7.46665477,6,2.856777121,3.212868679
12/1/1987,3.437749857,-39.21169798,6.9167,9.1233,3.26,3.2967,0.725902984,3.059208384,86.4,82.9159,6.809534933,0.844904123,9.423721595,5.8333,3.701492717,-25.75523329
3/1/1988,3.149007079,-48.11557582,6.6633,8.4167,2.69,2.8933,3.842217688,3.332836809,92.3,83.2162,2.062205152,7.005872445,3.639631125,5.7,2.935960514,-26.68562058
6/1/1988,4.395243426,8.542338708,7.1567,8.91,2.7,2.6533,3.104242182,2.71952425,93.6,83.9702,5.22189507,2.943300432,3.479795475,5.4667,3.268987971,17.92711538
9/1/1988,4.898466684,-56.87986134,7.9833,9.1,2.09,1.98,-1.164635435,1.293654129,96,84.0047,2.337038082,3.539157186,1.466092569,5.4667,2.805199893,-1.79292992
12/1/1988,4.022380264,-17.49622065,8.47,8.9567,1.23,1.04,-0.866262117,0.538928692,93,84.7195,5.29462775,4.522448612,2.843613872,5.3333,3.207411397,17.74944399
3/1/1989,4.571315319,86.42594322,9.4433,9.2067,0.67,0.2433,-2.284964217,9.006458837,95.9,84.8276,4.04505757,1.851131937,1.876836288,5.2,3.01309836,-16.31447383
6/1/1989,5.35313501,36.50423005,9.7267,8.7733,0.36,-0.24,-3.668008427,4.307171411,90.9,83.7269,3.04081112,1.862487102,-1.5252289,5.2333,1.885008164,-37.61408292
9/1/1989,2.350957699,-25.32567658,9.0833,8.1067,0.26,-0.1167,4.495992395,2.159345035,92.5,82.4329,2.952022607,3.853659497,-2.484699817,5.2333,1.020533187,-2.862452649
12/1/1989,3.131673801,18.16598715,8.6133,7.9067,0.25,0.2767,3.707531033,2.045855123,91.8,81.8176,0.787149208,1.734677309,1.548338706,5.3667,1.851769771,-2.583869886
3/1/1990,5.755593573,21.94634891,8.25,8.4233,0.66,0.9433,-1.061933302,-0.412362652,91.3,82.0478,4.347812985,3.352326678,2.916545596,5.3,2.699540763,25.58480298
6/1/1990,3.616318269,-81.95743066,8.2433,8.6767,0.93,1.1533,-0.601934925,-3.42184233,90.9,81.9741,1.449251535,1.216669154,2.807826239,5.3333,1.313821845,-64.83708565
9/1/1990,5.051147343,152.6499591,8.16,8.7033,1.23,1.2433,-2.498030047,0.07082322,79.1,81.6591,0.266238094,1.58154344,1.624330781,5.7,-0.49582565,-27.42434802
